Beijing,PM2.5,2008-04-08 15:00,2008,4,8,15,207,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 16:00,2008,4,8,16,180,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 17:00,2008,4,8,17,152,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 18:00,2008,4,8,18,162,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 19:00,2008,4,8,19,171,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 20:00,2008,4,8,20,219,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 21:00,2008,4,8,21,86,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 22:00,2008,4,8,22,63,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-08 23:00,2008,4,8,23,61,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 00:00,2008,4,9,0,64,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 01:00,2008,4,9,1,64,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 02:00,2008,4,9,2,69,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 03:00,2008,4,9,3,80,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 04:00,2008,4,9,4,71,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 05:00,2008,4,9,5,73,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 06:00,2008,4,9,6,69,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 07:00,2008,4,9,7,69,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 08:00,2008,4,9,8,64,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 09:00,2008,4,9,9,69,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 10:00,2008,4,9,10,70,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 11:00,2008,4,9,11,69,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 12:00,2008,4,9,12,56,µg/mg³,1 Hr,Valid
Beijing,PM2.5,2008-04-09 13:00,2008,4,9,13,52,µg/mg³,1 Hr,Valid
